"candidate","repeat_seed","fold","baseline_loss","candidate_loss","gain","max_abs_extra_coef"
"miles_df3",1907,1,1.15259040122224,1.15136852479066,0.00122187643157745,0.642830804684329
"miles_df3",1907,2,1.16351245053498,1.16354930541761,-3.6854882629056e-05,1.35751654620011
"miles_df3",1907,3,1.14893454919654,1.14897823568927,-4.3686492721573e-05,1.15489000627175
"miles_df3",1907,4,1.09666466548406,1.09680808996242,-0.000143424478360243,1.63960637650958
"miles_df3",1907,5,1.14737383092708,1.14599026667925,0.00138356424782859,1.02800362937791
"miles_df3",2719,1,1.12529274837249,1.12559967750625,-0.000306929133761624,1.30416987144852
"miles_df3",2719,2,1.16355251427008,1.16061933258198,0.00293318168809864,0.641110542083199
"miles_df3",2719,3,1.08109039155315,1.08267463347314,-0.0015842419199863,1.56641640096796
"miles_df3",2719,4,1.14315668263466,1.14151065060651,0.00164603202814972,1.12473730256959
"miles_df3",2719,5,1.19920867686972,1.19887488257863,0.000333794291091927,1.23282812248556
"miles_df3",6151,1,1.13165345782443,1.13038906415148,0.00126439367294573,1.60886846389562
"miles_df3",6151,2,1.15838489392884,1.15768358066599,0.00070131326285261,0.819673762738843
"miles_df3",6151,3,1.17005281470491,1.16797174472809,0.002081069976829,1.12743229937865
"miles_df3",6151,4,1.11013580963204,1.11200963544707,-0.00187382581502327,1.12376536836902
"miles_df3",6151,5,1.14302897627257,1.14131342764691,0.00171554862566548,1.15408710084519
"miles_df3",8293,1,1.14021432745338,1.13742994406364,0.0027843833897423,0.763679512870806
"miles_df3",8293,2,1.16734253995761,1.16924710995528,-0.00190456999766386,1.2767280871433
"miles_df3",8293,3,1.10176523379719,1.10369164198672,-0.00192640818952516,1.40247941692225
"miles_df3",8293,4,1.14854613225494,1.1475661744781,0.000979957776847007,1.29117041842135
"miles_df3",8293,5,1.15777735609388,1.15541747466178,0.0023598814321073,1.10477469892523
"miles_df3",104729,1,1.14658213090586,1.1482236729961,-0.00164154209023581,1.38326549599719
"miles_df3",104729,2,1.1143757089836,1.11113359274582,0.00324211623778314,0.769939202411926
"miles_df3",104729,3,1.12202073533663,1.1207976821664,0.0012230531702293,1.17266661136471
"miles_df3",104729,4,1.15473102698626,1.15719149438659,-0.00246046740032702,1.34872030980894
"miles_df3",104729,5,1.16794192999995,1.17287321954388,-0.00493128954393485,1.29827971804711
